,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-02-01 07:16:37,10017.343548387076,btc,10043.0,usd,2018-02-01,2018-02-01 07:16:37,1517458597.0,0.0008144860938373671,-1225782.999466412,32824.18426775
2018-02-02 19:27:52,8956.415111370969,btc,8959.4,usd,2018-02-02,2018-02-02 19:27:52,1517588872.0,-0.009722962404928316,14763881.365233947,134643.62631221995
2018-02-02 22:20:12,8548.299924612258,btc,8575.9,usd,2018-02-02,2018-02-02 22:20:12,1517599212.0,-0.007070021769579303,10737963.194155645,134347.37096902
2018-02-03 00:18:42,8567.877419354842,btc,8566.2,usd,2018-02-03,2018-02-03 00:18:42,1517606322.0,-0.005928855334036381,9006185.244819237,123738.26990942
2018-02-03 02:58:13,8838.47594813403,btc,8877.0,usd,2018-02-03,2018-02-03 02:58:13,1517615893.0,-0.0015694543708008218,2390473.9445812316,123333.96227965994
2018-02-03 03:28:52,8786.49677419355,btc,8811.0,usd,2018-02-03,2018-02-03 03:28:52,1517617732.0,-0.0006862439279580059,1050132.2731197868,123254.48078122
2018-02-03 05:01:32,8572.243477176291,btc,8590.0,usd,2018-02-03,2018-02-03 05:01:32,1517623292.0,0.00029204441723807144,-434507.52654238994,116626.0746983
2018-02-03 06:56:23,8249.157759128873,btc,8300.0,usd,2018-02-03,2018-02-03 06:56:23,1517630183.0,0.0007556834557534926,-1138155.2716200622,116950.79660996998
2018-02-03 08:20:12,8355.674193548397,btc,8337.2,usd,2018-02-03,2018-02-03 08:20:12,1517635212.0,0.0003735708794572661,-558294.1063134205,116048.75963758
2018-02-03 10:45:12,8663.773645336947,btc,8685.019633639997,usd,2018-02-03,2018-02-03 10:45:12,1517643912.0,0.0007100066769561203,-1068892.4149001178,106240.19662791
2018-02-03 12:37:12,8914.977510884044,btc,8935.0,usd,2018-02-03,2018-02-03 12:37:12,1517650632.0,0.0014061546357171959,-2125356.3865778646,99309.62718445002
2018-02-03 12:52:13,8951.298420500016,btc,8950.0,usd,2018-02-03,2018-02-03 12:52:13,1517651533.0,0.0015299917349357308,-2313289.0737616434,97799.54144034
2018-02-03 14:13:42,8786.14722614985,btc,8800.2,usd,2018-02-03,2018-02-03 14:13:42,1517656422.0,0.0014349284660451701,-2169002.452205368,90828.57968363
2018-02-03 15:39:32,9008.805284782427,btc,9029.4,usd,2018-02-03,2018-02-03 15:39:32,1517661572.0,0.0010072011421427905,-1519838.3361045867,85748.19333099999
2018-02-03 16:20:53,9006.527419354845,btc,9003.3,usd,2018-02-03,2018-02-03 16:20:53,1517664053.0,0.0006612284934763957,-994761.6764612177,70678.15940018003
2018-02-03 17:40:32,9336.761169408719,btc,9368.0,usd,2018-02-03,2018-02-03 17:40:32,1517668832.0,0.002252054397967403,-3409012.9153330866,62800.54499893
2018-02-03 19:25:24,9141.1537828913,btc,9161.9,usd,2018-02-03,2018-02-03 19:25:24,1517675124.0,0.005111022625234077,-7747850.551191046,57987.59187473
2018-02-03 20:30:12,9284.795638033876,btc,9292.0,usd,2018-02-03,2018-02-03 20:30:12,1517679012.0,0.007259429021507194,-11008358.719774215,55436.76334368999
